,Unnamed: 0,LPloc,LPlocerr,LPscale,LPscaleerr,RPloc,RPlocerr,RPscale,RPscaleerr,RSPloc,RSPlocerr,RSPscale,RSPscaleerr,SampleA,SampleB,amplitude,amplitudeerr,chisquared,ctime,length,location,locationerr,mtime,numofsamples,scale,scaleerr,uniquename,DOI,TimeResolution,TimeResolutionerr,CTR,CTRerr,ERright,ERrighterr,ERleft,ERlefterr
20,20,0.6714351072321689,0.00043176496175692015,0.02594712793423923,0.0002419977509735957,0.6451551955465529,0.0003833269803495444,0.02890837893941507,0.00021212323004728275,0.4796628487287033,0.4796628487287033,0.04562857604145307,0.04562857604145307,23972,24044ReferenceDOI6th,17485.086688052976,0,0.5396565932400197,1379938504.0,20,-123.44845244171611,2.0871076508080963,1376464180.0,727,56.07340692021868,1.5708052086332762,Run_23972vs24044ReferenceDOI6th_00018,,39.64988627751931,1.110727014947739,132.0341213041393,3.6987209597759714,10.552380709675312,0.07768444247100573,9.100728518207244,0.08508010724624426
21,21,0.6714288655230801,0.00042752277260984785,0.02788315771742012,0.00025642481976754784,0.6450372246397473,0.00039420998554005686,0.028698974988024664,0.0002228926005166171,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,19775.593566107145,0,0.7278207307785332,1379938504.0,20,-128.90305611043652,2.2191327105294603,1376464182.0,827,61.44277175663535,1.830387704664388,Run_23972vs24044ReferenceDOI6th_00019,,43.44660056401413,1.2942795581686681,144.67717987816707,4.309950928701665,10.477858256094422,0.0816285727081417,9.779864971007443,0.09015492184373478
22,22,0.6750650243449897,0.00032895276865456765,0.023881169120347732,0.0002083418164639996,0.6671713278297533,0.00033607080332163946,0.024523877053630558,0.0001996432015429895,0.0,0.0,0.0,0.0,23972,24044Reference,22293.54078573624,0,0.6710130445784963,1376464027.0,20,-93.33953047167302,1.7587337913361472,1376464027.0,940,54.433865117034856,1.3204121125016586,Run_23972vs24044Reference_00005,,38.490555150449204,0.9336723587107771,128.17354865099585,3.109128954506888,8.65650666511217,0.07060539326631236,8.331072007913354,0.07279443226359561
23,23,0.7691513284526456,0.00039432461758308703,0.02568616525506956,0.00024887761736156383,0.6664546983978397,0.00037469896318657344,0.023392588864235897,0.00023594204425841274,0.4939900500250517,0.4939900500250517,0.05349339372699948,0.05349339372699948,23972,24044Reference,11554.403277689496,0,0.5913694328344056,1376464022.0,20,-103.7086843764575,2.721366646782859,1376464021.0,491,58.067525256266244,2.248321322531132,Run_23972vs24044Reference_00002,,41.059940875426975,1.58980325344807,136.72960311517184,5.294044833982073,8.266060230006792,0.08350246379924979,7.864631697039715,0.07630834849690955
24,24,0.6331445813751052,0.0003404223204193725,0.02380001917438568,0.0001973492573525545,0.6242063259681786,0.00033695743968664704,0.02329474826164695,0.00020687897562527595,0.0,0.0,0.0,0.0,23972,24044Reference,22889.17851836113,0,0.9840466745783724,1376464025.0,20,-93.77329869651965,1.81750868993846,1376464025.0,958,54.515467098988715,1.4294894665217974,Run_23972vs24044Reference_00004,,38.54825646524704,1.0108016954123031,128.36569402927265,3.3659696457229695,8.788621626204927,0.0781951675393528,8.852487536724592,0.07355879294152541
25,25,0.7260016472744522,0.00035877714859141756,0.02486396502564098,0.00021288562386108712,0.7101463728026732,0.00033377391026051637,0.023495718702265786,0.0002086173263847532,0.0,0.0,0.0,0.0,23972,24044Reference,18803.535522342605,0,0.521797081747157,1376464028.0,20,-91.26759596919905,1.9038320992168536,1376464028.0,796,55.32872355834981,1.4449274419523899,Run_23972vs24044Reference_00006,,39.12331562250503,1.0217179925270663,130.28064102294175,3.402320915115131,7.791691919154675,0.06927890805224397,8.065358784681788,0.06917064648984438
26,26,0.7263275689553379,0.0003969463641567241,0.024140021919891896,0.0002386052374563128,0.6221778219986339,0.00040177461568971897,0.025827968556290663,0.00024221598178451577,0.0,0.0,0.0,0.0,23972,24044Reference,15300.894519064219,0,0.3988492281042616,1376464020.0,20,-77.54309324475061,2.276396386714885,1376464020.0,637,55.61520749015091,1.6849663497272158,Run_23972vs24044Reference_00001,,39.325890353382576,1.191451131963258,130.955214876764,3.967532269437649,9.776122484513449,0.09189805910734612,7.82701277649577,0.07748206553780622
27,27,0.5827068749843684,0.0002998588776665265,0.02603952967969558,0.0001843411128976676,0.5490032134606131,0.0002811659861907701,0.029508547362454774,0.00016263384690159787,0.0,0.0,0.0,0.0,23972,24044,35490.93609873628,0,1.2893147443152846,1379939748.0,2404,-14.03669445653296,1.5049131857381868,1376464415.0,1498,56.054080317194654,1.2525264070336692,Run_23972vs24044_ReferenceDOI7th_00001,,39.636220305463716,0.8856699160287292,131.98861361719418,2.9492808203756686,12.657963985408724,0.0700638377757034,10.52383196908877,0.07469771899418748
28,28,0.6727597294711816,0.0003928427542221562,0.024027599839704268,0.00024788789856755654,0.5802468826445796,0.000399734162202197,0.024466198099659303,0.00023947360441999767,0.0,0.0,0.0,0.0,23972,24044Reference,16345.127568303118,0,0.6662819657537508,1376464019.0,20,-69.63677461454449,2.206213321705918,1376464019.0,689,55.944196596177825,1.837205047630345,Run_23972vs24044Reference_00000,,39.55852078119071,1.299100147609571,131.72987420136505,4.326003491539871,9.929893334729128,0.09743360808927762,8.410877634870003,0.0869122061457746
29,29,0.7277827759877856,0.0005874442700156963,0.024525470017220455,0.00035268792427560117,0.6305946330698294,0.0005115842868935058,0.03059858417009739,0.00028672491881762114,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,6762.143031335128,0,0.590515973529839,1379938504.0,20,-118.25878645592957,3.5632413704593877,1376464151.0,293,58.18848529306289,2.6567059945721936,Run_23972vs24044ReferenceDOI6th_00001,,41.14547253769846,1.878574824380949,137.01442355053587,6.25565416518856,11.427256424588023,0.10747999955261299,7.9360880466238894,0.1143043560438989
30,30,0.6772216264594774,0.0006248984723193657,0.027395023067698445,0.0003705865537681138,0.5766733244836135,0.0005747258274932444,0.030096521787663377,0.0003046974587795363,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,9550.590645318682,0,0.3774470914957774,1379938504.0,20,-107.3621524849108,2.9808410486948382,1376464150.0,399,56.55035546169604,2.8729491374116445,Run_23972vs24044ReferenceDOI6th_00000,,39.98713982547498,2.031481817067816,133.1571756188317,6.764834450835827,12.290720898771394,0.12503283152756586,9.526464720525313,0.12916884196444509
31,31,0.4999002758641832,0.00039124213334051466,0.022737836470638758,0.00025043770344317773,0.4930741267289788,0.00034285104117981924,0.023333677837569733,0.0002142991913985146,0.6447800362756786,0.6447800362756786,0.03045822461713969,0.03045822461713969,23972,24044ReferenceDOI6th,20234.805033359557,0,0.4506560119589338,1379938504.0,20,-132.00130745009017,2.0316754812397573,1376464154.0,850,60.773225129599936,1.8175573442573247,Run_23972vs24044ReferenceDOI6th_00003,,42.97315960371681,1.2852071233197664,143.100621480377,4.279739720654822,11.144533515075466,0.10264561000963655,10.711657399225462,0.11827716618004047
32,32,0.7657102904616802,0.0009549519807923883,0.030199308757792524,0.0005862889047072808,0.6672350005830928,0.0003646287269555656,0.03946008727499413,0.00018341186827565802,0.4506203840905975,0.4506203840905975,0.10278198696376956,0.10278198696376956,23972,24044ReferenceDOI6th,2414.119275059957,0,0.4476614861780476,1379938504.0,20,-155.489526929534,5.888313849811766,1376464153.0,108,60.8333580049636,4.103040561095267,Run_23972vs24044ReferenceDOI6th_00002,,43.015679967658706,2.90128780423392,143.2422142923035,9.661288388098953,13.927402706902589,0.06518093964924208,9.288026164794053,0.1806892705553861
33,33,0.594618123489006,0.0004341426917113448,0.02593898676484616,0.0002496379304653184,0.5746769503436129,0.0003944981713607855,0.030628898527311287,0.00021298210120736805,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,19309.79172117011,0,0.8446793383636424,1379938504.0,20,-137.10690936699223,1.9107052874517196,1376464157.0,815,54.27854931995107,1.6541756853298577,Run_23972vs24044ReferenceDOI6th_00005,,38.38073029710586,1.169678844370647,127.80783188936253,3.8950305517542545,12.551583283214894,0.0877033687444892,10.273200802017287,0.09915383677406377
34,34,0.5425265052140608,0.0004038426909227783,0.024939363052002356,0.00024155132959765449,0.5361017177822833,0.0003830516411478224,0.02788096074546152,0.00023086808647131157,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,19652.38191099268,0,0.9256749376476312,1379938504.0,20,-132.49092197848879,2.0725019058344385,1376464156.0,833,57.50573034313484,1.6713454836812134,Run_23972vs24044ReferenceDOI6th_00004,,40.662691882715656,1.1818197252164961,135.40676396944315,3.9354596849709322,12.247612790195717,0.10179312532926424,10.825683063040765,0.105161846414607
35,35,0.67463684486974,0.0004256521091339114,0.026127142308881537,0.00025820090401173644,0.661767476187139,0.00040304954042693,0.02992912132865424,0.00022876554004187948,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,16138.607412892292,0,0.4415792385385321,1379938504.0,20,-126.73297261162091,2.2138333087026942,1376464160.0,683,57.981253913995296,1.7837083349486509,Run_23972vs24044ReferenceDOI6th_00007,,40.99893782428512,1.2612722593011565,136.52646295486946,4.200036623472851,10.650732056987499,0.08166771993790266,9.120376481853171,0.09031542173652815
36,36,0.6703399357111737,0.0004359957776210647,0.02781167821767169,0.000263606982952682,0.6416283319967541,0.0003710569818301127,0.02707530964028257,0.00021956335936845967,0.3800871074813538,0.3800871074813538,0.1391963362832507,0.1391963362832507,23972,24044ReferenceDOI6th,25173.584770792182,0,0.8121765479472932,1379938504.0,20,-128.62114095827792,2.1460605899112166,1376464198.0,1044,66.07025077233648,2.10374554421853,Run_23972vs24044ReferenceDOI6th_00028,,46.71872235581485,1.4875727402079064,155.57334544486343,4.953617224892328,9.937583959928382,0.08079207622622177,9.77064004595379,0.09282668529670575
37,37,0.6732564860407617,0.00042993877550968635,0.02748524486843736,0.0002557991034403339,0.6569020043721632,0.0003928400666377042,0.029452925209109405,0.0002238111125712833,0.3896388878316733,0.3896388878316733,0.09958636412255828,0.09958636412255828,23972,24044ReferenceDOI6th,15129.54053768236,0,0.6972195092111253,1379938504.0,20,-97.74357641583076,2.7354684377947662,1376464163.0,667,66.73104004403501,2.5213974283772047,Run_23972vs24044ReferenceDOI6th_00009,,47.1859709307682,1.7828972196718436,157.12928319945811,5.937047741507239,10.558901998441202,0.08048458087602268,9.614129682703286,0.08968697023274738
38,38,0.7247461560820874,0.00041958948928185,0.02536856276590214,0.0002489424058680201,0.7041922805644535,0.00033959913467338686,0.026023632736899442,0.00020625088305704253,34.603827894583155,34.603827894583155,37.101424860510775,37.101424860510775,23972,24044ReferenceDOI6th,11255.064842795418,0,0.5193451970992717,1379938504.0,20,-116.36221711331687,2.920574329406095,1376464162.0,488,62.42502217752092,2.8099953610662727,Run_23972vs24044ReferenceDOI6th_00008,,44.141156497445664,1.9869667749127022,146.99005113649406,6.616599360459299,8.702971729010429,0.06910317003869457,8.243295229969158,0.08103234245162275
39,39,0.6714981775872692,0.0004395122220909139,0.02730206083453808,0.00025918250072470475,0.6422734212571878,0.000380376295089584,0.02772313692418605,0.00021365337539462983,0.4137992010036624,0.4137992010036624,0.092294169345349,0.092294169345349,23972,24044ReferenceDOI6th,25330.440403907563,0,0.8689370205519049,1379938504.0,20,-134.1764869044627,2.1929115426894907,1376464192.0,1053,67.23494370652978,2.3029820733523327,Run_23972vs24044ReferenceDOI6th_00025,,47.54228462758299,1.6284542410184892,158.31580780985135,5.422752622591569,10.165139221963017,0.07857046037333976,9.575059979515895,0.09111325373844485
40,40,0.6716919819110377,0.0004353765320782396,0.025883918266361126,0.00023828934435171935,0.6439666727967064,0.00040465919829826553,0.03371255724161018,0.00022547336000247286,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,24506.501969713794,0,0.6340498398398551,1379938504.0,20,-131.0210399611367,1.950754772876828,1376464191.0,1007,62.414281243969775,1.6931206982624838,Run_23972vs24044ReferenceDOI6th_00024,,44.13356151049537,1.1972171271087046,146.96475982994957,3.9867330332719866,12.328754834344595,0.0828192406328039,9.075086372752601,0.08375276674427559
41,41,0.6710506497552298,0.0003955786096427679,0.024335763770449576,0.0002496978687522892,0.6439866656065101,0.00036882178195956836,0.028442661191689755,0.00021586562995023922,0.4771474216831725,0.4771474216831725,0.04575273559882012,0.04575273559882012,23972,24044ReferenceDOI6th,22708.885469528275,0,0.690302920300512,1379938504.0,20,-133.13475307496427,2.087569826233341,1376464189.0,941,61.716910747319524,1.7743192502981695,Run_23972vs24044ReferenceDOI6th_00023,,43.640446103314545,1.2546331738756666,145.32268552403744,4.17792846900597,10.401219572356352,0.07916451689830212,8.540446790464062,0.08777402593192722
42,42,0.6716108709617753,0.000445994888934779,0.026015041377658074,0.0002508648831693223,0.6433764753222292,0.0003845661559634225,0.02851240260738099,0.00021241479417829348,0.4526067911984041,0.4526067911984041,0.21234698723078968,0.21234698723078968,23972,24044ReferenceDOI6th,20910.617598357687,0,1.001635495821446,1379938504.0,20,-130.50507206536665,2.4581546456823293,1376464187.0,879,64.64357792754193,2.4616414533018167,Run_23972vs24044ReferenceDOI6th_00022,,45.70991231272592,1.7406433644796224,152.21400800137732,5.7963424037171425,10.436612266053467,0.07800166568692567,9.122160628021115,0.08817397506845874
43,43,0.6729006798953626,0.0004269549146193993,0.02554386415939643,0.0002397225901584481,0.6449022652413383,0.00038584002848693176,0.02817392693910082,0.00022132646240831402,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,20030.365279230904,0,0.9748455712843788,1379938504.0,20,-124.07937563199093,2.3143308603155117,1376464185.0,848,61.37133171717494,2.6751583372443752,Run_23972vs24044ReferenceDOI6th_00021,,43.396084827663444,1.8916226010132267,144.50896247611928,6.299103261374045,10.28831832630527,0.08105620091287875,8.93977401014559,0.0840890097656814
44,44,0.6717789136278515,0.0004292176380638964,0.025842758832971824,0.0002442741083265101,0.6445741974657884,0.0003763018318273933,0.02992221047364822,0.00021911266504494556,0.4772644335702194,0.4772644335702194,0.045818232687144585,0.045818232687144585,23972,24044ReferenceDOI6th,21635.128621661115,0,0.7010313229307864,1379938504.0,20,-128.22327280879819,2.2345584299629317,1376464183.0,903,61.66224248158397,2.4760013952126365,Run_23972vs24044ReferenceDOI6th_00020,,43.601789801897226,1.750797376782208,145.19396004031776,5.830155264684753,10.932303207681793,0.0803084569510145,9.05948308543715,0.0858285698128615
45,45,0.6707919768713511,0.0004275018556356861,0.026140920812007532,0.00024687087592529204,0.6404509748434987,0.00038714700583640765,0.029063811247135894,0.0002200151566374688,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,25280.81282429196,0,0.6297294990839324,1379938504.0,20,-128.80689041474164,2.1127410340722967,1376464196.0,1032,67.86256142160667,1.81118319094595,Run_23972vs24044ReferenceDOI6th_00027,,47.98607736990667,1.2806999162889707,159.79363764178922,4.264730721242272,10.687043688821053,0.08115921846462378,9.17749028535034,0.08686795039588283
46,46,0.6721917482761495,0.00042996758206501344,0.02749602366238723,0.00024185637912380533,0.6412724595116501,0.00038117133402342093,0.02867372513803812,0.0002224162144515152,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,26688.300395596358,0,0.6685549358936409,1379938504.0,20,-135.83755342433977,2.0619959545073545,1376464194.0,1100,65.45753144557075,1.9679121396941008,Run_23972vs24044ReferenceDOI6th_00026,,46.28546436489475,1.391524018757027,154.1305963350995,4.6337749824609,10.53009866531669,0.08191928258557976,9.633134576701183,0.08495727592661759
